Source,Target,Weight
CYP143,CYP190,0.03
CYP143,CYP191,0.03
CYP143,CYP243,0.03
CYP143,CYP268,0.03
CYP143,CYP272,0.02
CYP143,CYP279,0.03
CYP143,CYP291,0.03
CYP143,CYP51,0.215
CYP143,New_family_26,0.215
CYP143,New_family_27,0.03
CYP144,CYP102,0.005
CYP144,CYP1027,0.015
CYP144,CYP1034,0.02
CYP144,CYP105,0.06
CYP144,CYP107,0.015
CYP144,CYP108,0.06
CYP144,CYP121,0.19
CYP144,CYP123,0.24
CYP144,CYP124,0.25
CYP144,CYP125,0.085
CYP144,CYP126,0.08
CYP144,CYP128,0.185
CYP144,CYP130,0.225
CYP144,CYP135,0.215
CYP144,CYP136,0.25
CYP144,CYP137,0.19
CYP144,CYP138,0.25
CYP144,CYP139,0.215
CYP144,CYP140,0.25
CYP144,CYP141,0.16
CYP144,CYP142,0.24
CYP144,CYP143,0.22
CYP144,CYP150,0.06
CYP144,CYP151,0.02
CYP144,CYP153,0.005
CYP144,CYP164,0.055
CYP144,CYP185,0.055
CYP144,CYP186,0.015
CYP144,CYP187,0.06
CYP144,CYP188,0.06
CYP144,CYP189,0.06
CYP144,CYP190,0.06
CYP144,CYP191,0.06
CYP144,CYP243,0.035
CYP144,CYP268,0.055
CYP144,CYP272,0.025
CYP144,CYP279,0.055
CYP144,CYP282,0.01
CYP144,CYP291,0.035
CYP144,CYP51,0.245
CYP144,New_family_26,0.245
CYP144,New_family_27,0.04
CYP144,New_family_28,0.01
CYP144,New_family_29,0.005
CYP144,New_family_30,0.01
CYP150,CYP102,0.005
CYP150,CYP1027,0.015
CYP150,CYP1034,0.02
CYP150,CYP105,0.06
CYP150,CYP107,0.015
CYP150,CYP108,0.06
CYP150,CYP123,0.06
CYP150,CYP124,0.06
CYP150,CYP125,0.06
CYP150,CYP126,0.06
CYP150,CYP130,0.06
CYP150,CYP135,0.025
CYP150,CYP136,0.06
CYP150,CYP138,0.06
CYP150,CYP139,0.025
CYP150,CYP140,0.06
CYP150,CYP142,0.06
CYP150,CYP143,0.03
CYP150,CYP144,0.06
CYP150,CYP151,0.02
CYP150,CYP153,0.005
CYP150,CYP164,0.055
CYP150,CYP185,0.055
CYP150,CYP186,0.015
CYP150,CYP187,0.06
CYP150,CYP188,0.06
CYP150,CYP189,0.06
CYP150,CYP190,0.06
CYP150,CYP191,0.06
CYP150,CYP243,0.035
CYP150,CYP268,0.055
CYP150,CYP272,0.025
CYP150,CYP279,0.055
CYP150,CYP282,0.01
CYP150,CYP291,0.035
CYP150,CYP51,0.06
CYP150,New_family_26,0.06
CYP150,New_family_27,0.04
CYP150,New_family_28,0.01
CYP150,New_family_29,0.005
CYP150,New_family_30,0.01
CYP151,CYP102,0.005
CYP151,CYP105,0.02
CYP151,CYP107,0.015
CYP151,CYP108,0.02
CYP151,CYP123,0.02
CYP151,CYP124,0.02
CYP151,CYP125,0.02
CYP151,CYP126,0.02
CYP151,CYP130,0.02
CYP151,CYP135,0.02
CYP151,CYP136,0.02
CYP151,CYP138,0.02
CYP151,CYP140,0.02
CYP151,CYP142,0.02
CYP151,CYP144,0.02
CYP151,CYP150,0.02
CYP151,CYP164,0.015
CYP151,CYP185,0.02
CYP151,CYP186,0.015
CYP151,CYP187,0.02
CYP151,CYP188,0.02
CYP151,CYP189,0.02
CYP151,CYP190,0.02
CYP151,CYP191,0.02
CYP151,CYP268,0.02
CYP151,CYP279,0.015
CYP151,CYP282,0.005
CYP151,CYP51,0.02
CYP151,New_family_26,0.02
CYP151,New_family_28,0.01
CYP151,New_family_30,0.01
CYP153,CYP1027,0.005
CYP153,CYP105,0.005
CYP153,CYP108,0.005
CYP153,CYP123,0.005
CYP153,CYP124,0.005
CYP153,CYP125,0.005
CYP153,CYP126,0.005
CYP153,CYP130,0.005
CYP153,CYP136,0.005
CYP153,CYP138,0.005
CYP153,CYP140,0.005
CYP153,CYP142,0.005
CYP153,CYP143,0.005
CYP153,CYP144,0.005
CYP153,CYP150,0.005
CYP153,CYP164,0.005
CYP153,CYP185,0.005
CYP153,CYP187,0.005
CYP153,CYP188,0.005
CYP153,CYP189,0.005
CYP153,CYP190,0.005
CYP153,CYP191,0.005
CYP153,CYP243,0.005
CYP153,CYP268,0.005
CYP153,CYP279,0.005
CYP153,CYP291,0.005
CYP153,CYP51,0.005
CYP153,New_family_26,0.005
CYP153,New_family_27,0.005
CYP164,CYP1027,0.015
CYP164,CYP1034,0.02
CYP164,CYP105,0.055
CYP164,CYP107,0.015
CYP164,CYP108,0.055
CYP164,CYP123,0.055
CYP164,CYP124,0.055
CYP164,CYP125,0.055
CYP164,CYP126,0.055
CYP164,CYP130,0.055
CYP164,CYP135,0.02
CYP164,CYP136,0.055
CYP164,CYP138,0.055
CYP164,CYP139,0.025
CYP164,CYP140,0.055
CYP164,CYP142,0.055
CYP164,CYP143,0.03
CYP164,CYP144,0.055
CYP164,CYP150,0.055
CYP164,CYP151,0.015
CYP164,CYP153,0.005
CYP164,CYP185,0.05
CYP164,CYP186,0.015
CYP164,CYP187,0.055
CYP164,CYP188,0.055
CYP164,CYP189,0.055
CYP164,CYP190,0.055
CYP164,CYP191,0.055
CYP164,CYP243,0.035
CYP164,CYP268,0.05
CYP164,CYP272,0.025
CYP164,CYP279,0.05
CYP164,CYP282,0.005
CYP164,CYP291,0.035
CYP164,CYP51,0.055
CYP164,New_family_26,0.055
CYP164,New_family_27,0.04
CYP164,New_family_28,0.01
CYP164,New_family_29,0.005
CYP164,New_family_30,0.01
CYP185,CYP102,0.005
CYP185,CYP1027,0.015
CYP185,CYP1034,0.02
CYP185,CYP105,0.055
CYP185,CYP107,0.015
CYP185,CYP108,0.055
CYP185,CYP123,0.055
CYP185,CYP124,0.055
CYP185,CYP125,0.055
