Subfamily,Absidia_glauca_gca_900079185.AG_v1.pep.all,Absidia_repens_gca_002105175.Absrep1.pep.all,Acaromyces_ingoldii_gca_003144295.Acain1.pep.all,Acidomyces_richmondensis_bfw_gca_001592465.Acidomyces_richmondensis_BFW_v1.0.pep.all,Acidomyces_richmondensis_gca_001572075.ASM157207v1.pep.all,Agaricus_bisporus_var_burnettii_jb137_s8_gca_000300555.Agabi_varbur_1.pep.all,Alternaria_alternata_gca_001642055.Altal1.pep.all,Amorphotheca_resinae_atcc_22711_gca_003019875.Amore1.pep.all,Aspergillus_indologenus_cbs_114_80_gca_003184685.Aspind1.pep.all,Aspergillus_japonicus_cbs_114_51_gca_003184785.Aspjap1.pep.all
New_subf_126_CYP620,0,0,0,0,0,0,0,0,1,1
New_subf_127_CYP620,0,0,0,0,0,0,0,0,1,1
New_subf_128_CYP6001,0,0,0,0,0,0,0,1,0,0
New_subf_129_CYP52,0,0,0,0,0,0,0,0,1,1
New_subf_12_CYP509,2,1,0,0,0,0,0,0,0,0
New_subf_130_CYP5179,0,0,0,0,0,0,0,0,1,0
New_subf_131_New_family_19,0,0,0,0,0,0,0,0,1,1
New_subf_132_CYP65,0,0,0,0,0,0,0,0,1,0
New_subf_133_CYP5294,0,0,0,0,0,0,0,0,1,0
New_subf_134_New_family_20,0,0,0,0,0,0,0,0,1,1
New_subf_135_CYP58,0,0,0,0,0,0,0,0,1,1
New_subf_136_CYP655,0,0,0,0,0,0,0,0,1,1
New_subf_137_New_family_21,0,0,0,0,0,0,0,0,1,1
New_subf_138_CYP5114,0,0,0,0,0,0,0,0,1,1
New_subf_139_New_family_22,0,0,0,0,0,0,0,0,1,1
New_subf_13_CYP509,0,1,0,0,0,0,0,0,0,0
New_subf_140_CYP5089,0,0,0,0,0,0,0,0,1,1
New_subf_141_CYP5171,0,0,0,0,0,0,0,0,1,1
New_subf_142_CYP658,0,0,0,0,0,0,0,0,1,1
New_subf_143_CYP5087,0,0,0,0,0,0,0,0,1,1
New_subf_144_CYP682,0,0,0,0,0,0,0,0,1,0
New_subf_145_CYP65,0,0,0,0,0,0,0,0,1,1
New_subf_146_CYP505,0,0,0,0,0,0,0,0,1,1
New_subf_147_CYP58,0,0,0,0,0,0,0,0,1,1
New_subf_148_CYP661,0,0,0,0,0,0,0,0,1,0
New_subf_149_CYP58,0,0,0,0,0,0,0,0,1,0
New_subf_14_New_family_1,0,1,0,0,0,0,0,0,0,0
New_subf_150_CYP5119,0,0,0,0,0,0,0,0,1,1
New_subf_151_New_family_23,0,0,0,0,0,0,0,0,0,1
New_subf_152_CYP5168,0,0,0,0,0,0,0,0,1,0
New_subf_153_New_family_24,0,0,0,0,0,0,0,0,0,1
New_subf_154_CYP675,0,0,0,0,0,0,0,0,1,1
New_subf_155_CYP584,0,0,0,0,0,0,0,0,1,1
New_subf_156_CYP65,0,0,0,0,0,0,0,0,1,1
New_subf_157_New_family_25,0,0,0,0,0,0,0,0,1,1
New_subf_158_CYP5096,0,0,0,0,0,0,0,0,1,1
New_subf_159_CYP551,0,0,0,0,0,0,0,0,1,1
New_subf_15_CYP5026,0,0,1,0,0,0,0,0,0,0
New_subf_160_CYP5275,0,0,0,0,0,0,0,0,1,1
New_subf_161_CYP613,0,0,0,0,0,0,0,0,1,1
New_subf_162_CYP576,0,0,0,0,0,0,0,0,1,1
New_subf_163_CYP5096,0,0,0,0,0,0,0,0,0,1
New_subf_164_CYP666,0,0,0,0,0,0,0,0,1,1
New_subf_165_CYP663,0,0,0,0,0,0,0,0,0,1
New_subf_166_CYP572,0,0,0,0,0,0,1,0,0,1
New_subf_167_CYP552,0,0,0,0,0,0,0,0,1,1
New_subf_168_CYP5062,0,0,0,0,0,0,0,0,1,1
New_subf_169_CYP567,0,0,0,0,0,0,0,0,1,1
New_subf_16_CYP5028,0,0,1,0,0,0,0,0,0,0
New_subf_17_New_family_2,0,0,1,0,0,0,0,0,0,0
New_subf_18_CYP5026,0,0,1,0,0,0,0,0,0,0
New_subf_19_CYP6004,0,0,1,0,0,0,1,0,0,0
New_subf_1_CYP5210,1,1,0,0,0,0,0,0,0,0
New_subf_20_CYP5026,0,0,1,0,0,0,0,0,0,0
New_subf_21_CYP6,0,0,0,1,1,0,0,0,0,0
New_subf_22_CYP596,0,0,0,1,1,0,0,0,0,0
New_subf_23_CYP5189,0,0,0,1,1,0,0,0,0,0
New_subf_24_CYP684,0,0,0,1,1,0,0,0,0,0
New_subf_25_CYP5190,0,0,0,1,1,0,0,0,0,0
New_subf_26_CYP677,0,0,0,1,1,0,0,0,0,0
New_subf_27_CYP62,0,0,0,1,1,0,0,0,0,0
New_subf_28_CYP687,0,0,0,1,1,0,0,0,0,0
New_subf_29_CYP578,0,0,0,1,1,0,0,0,0,0
New_subf_2_CYP5203,3,0,0,0,0,0,0,0,0,0
New_subf_30_New_family_3,0,0,0,1,1,0,0,0,0,0
New_subf_31_CYP630,0,0,0,1,1,0,0,0,0,0
New_subf_32_CYP584,0,0,0,1,1,0,0,0,0,0
New_subf_33_New_family_4,0,0,0,1,1,0,0,0,0,0
New_subf_34_New_family_5,0,0,0,1,1,0,0,0,0,0
New_subf_35_CYP578,0,0,0,1,1,0,0,0,0,0
New_subf_36_CYP5104,0,0,0,1,1,0,0,0,0,0
New_subf_37_CYP65,0,0,0,1,1,0,0,0,0,0
New_subf_38_CYP65,0,0,0,1,1,0,0,0,0,0
New_subf_39_CYP5305,0,0,0,1,1,0,0,0,0,0
New_subf_3_CYP5210,1,1,0,0,0,0,0,0,0,0
New_subf_40_New_family_6,0,0,0,1,1,0,0,0,0,0
New_subf_41_CYP5037,0,0,0,0,0,1,0,0,0,0
New_subf_42_New_family_7,0,0,0,0,0,1,0,0,0,0
New_subf_43_CYP63,0,0,0,0,0,1,0,0,0,0
New_subf_44_CYP5037,0,0,0,0,0,1,0,0,0,0
New_subf_45_CYP66,0,0,0,0,0,1,0,0,0,0
New_subf_46_CYP5141,0,0,0,0,0,5,0,0,0,0
New_subf_47_CYP5137,0,0,0,0,0,1,0,0,0,0
New_subf_48_New_family_8,0,0,0,0,0,2,0,0,0,0
New_subf_49_CYP5141,0,0,0,0,0,1,0,0,0,0
New_subf_4_CYP5203,1,0,0,0,0,0,0,0,0,0
New_subf_50_CYP5140,0,0,0,0,0,1,0,0,0,0
New_subf_51_CYP63,0,0,0,0,0,2,0,0,0,0
New_subf_52_CYP5150,0,0,0,0,0,2,0,0,0,0
New_subf_53_CYP5150,0,0,0,0,0,3,0,0,0,0
New_subf_54_CYP699,0,0,0,0,0,2,0,0,0,0
New_subf_55_CYP699,0,0,0,0,0,2,0,0,0,0
New_subf_56_CYP5145,0,0,0,0,0,1,0,0,0,0
New_subf_57_CYP5156,0,0,0,0,0,1,0,0,0,0
New_subf_58_New_family_9,0,0,0,0,0,1,0,0,0,0
New_subf_59_CYP63,0,0,0,0,0,1,0,0,0,0
New_subf_5_CYP5203,1,1,0,0,0,0,0,0,0,0
New_subf_60_CYP5139,0,0,0,0,0,1,0,0,0,0
New_subf_61_CYP699,0,0,0,0,0,1,0,0,0,0
New_subf_62_CYP5032,0,0,0,0,0,2,0,0,0,0
New_subf_63_New_family_10,0,0,0,0,0,1,0,0,0,0
New_subf_64_New_family_11,0,0,0,0,0,1,0,0,0,0
New_subf_65_CYP63,0,0,0,0,0,2,0,0,0,0
New_subf_66_CYP63,0,0,0,0,0,1,0,0,0,0
New_subf_67_CYP5150,0,0,0,0,0,5,0,0,0,0
New_subf_68_CYP5152,0,0,0,0,0,1,0,0,0,0
New_subf_69_CYP677,0,0,0,0,0,0,1,0,0,0
New_subf_6_CYP509,2,2,0,0,0,0,0,0,0,0
New_subf_70_CYP543,0,0,0,0,0,0,1,0,0,0
New_subf_71_CYP65,0,0,0,0,0,0,1,0,0,0
New_subf_72_CYP547,0,0,0,0,0,0,1,0,0,0
New_subf_73_CYP52,0,0,0,0,0,0,1,0,0,0
New_subf_74_CYP65,0,0,0,0,0,0,1,0,0,0
New_subf_75_CYP535,0,0,0,0,0,0,1,0,0,0
New_subf_76_New_family_12,0,0,0,0,0,0,1,0,0,0
New_subf_77_CYP671,0,0,0,0,0,0,1,0,0,0
New_subf_78_CYP535,0,0,0,0,0,0,1,0,0,0
New_subf_79_CYP619,0,0,0,0,0,0,1,0,0,0
New_subf_7_CYP509,0,1,0,0,0,0,0,0,0,0
New_subf_80_CYP5238,0,0,0,0,0,0,1,0,0,0
New_subf_81_New_family_13,0,0,0,0,0,0,1,0,0,0
New_subf_82_CYP561,0,0,0,0,0,0,1,0,0,0
New_subf_83_CYP684,0,0,0,0,0,0,1,0,0,0
New_subf_84_New_family_14,0,0,0,0,0,0,1,0,0,0
New_subf_85_CYP682,0,0,0,0,0,0,1,0,0,0
New_subf_86_CYP620,0,0,0,0,0,0,2,0,0,0
New_subf_87_CYP59,0,0,0,0,0,0,1,0,0,0
New_subf_88_CYP52,0,0,0,0,0,0,1,0,0,0
New_subf_89_CYP5259,0,0,0,0,0,0,1,0,0,0
New_subf_8_CYP5313,2,2,0,0,0,0,0,0,0,0
New_subf_90_CYP595,0,0,0,0,0,0,1,0,0,0
New_subf_91_CYP532,0,0,0,0,0,0,1,0,0,0
New_subf_92_CYP5301,0,0,0,0,0,0,1,0,0,0
New_subf_93_CYP65,0,0,0,0,0,0,1,0,0,0
New_subf_94_CYP56,0,0,0,0,0,0,1,0,0,0
New_subf_95_CYP5050,0,0,0,0,0,0,1,0,0,0
New_subf_96_CYP680,0,0,0,0,0,0,1,0,0,0
New_subf_97_CYP654,0,0,0,0,0,0,1,0,0,0
New_subf_98_CYP65,0,0,0,0,0,0,2,0,0,0
New_subf_99_CYP567,0,0,0,0,0,0,1,0,0,0
New_subf_9_CYP5311,2,2,0,0,0,0,0,0,0,0
